name_prod,item_id,EIV_value,Material_cost,Job_cost,Total_production_price,name_market,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent,sell_profit_isk,buy_profit_isk,sell_margin_percent,buy_margin_percent
Crystalline Carbonide,16670,54.04,54.04,5.91,59.95,Crystalline Carbonide,0.01,73256086,915804211,32,42,0,1,9.506,995.8,95.06,99.58614380928913,39.63614380928912,35.11,66.1153357953113,58.56547122602168
Fullerides,16679,459.1,459.1,50.18,509.28,Fullerides,0.15,28056752,80394837,82,23,0,3,81.30000000000001,8452.0,813.0,845.2996859180054,336.0196859180054,303.72,65.97936025722694,59.63713477851085
Phenolic Composites,16680,646.57,646.57,70.67,717.24,Phenolic Composites,0.2,15277967,45584841,48,87,0,4,114.1,11470.0,1073.2432340443358,1147.9554610699522,430.7154610699522,356.00323404433584,60.051790344926694,49.635161737261704
Titanium Carbide,16671,58.03,58.03,6.34,64.37,Titanium Carbide,0.01,156700062,342133934,74,18,1,0,8.815000000000001,997.0,88.13249305073656,99.77614103511324,35.40614103511324,23.762493050736552,55.00410289748833,36.91547778582655
Tungsten Carbide,16672,64.41,64.41,7.04,71.44,Tungsten Carbide,0.01,91029185,415541192,47,20,0,4,10.71,1094.0,107.1,109.4,37.96000000000001,35.66,53.13549832026877,49.91601343784994
Sylramic Fibers,16678,151.61,151.61,16.57,168.18,Sylramic Fibers,0.05,36214159,326688591,34,31,0,2,24.340000000000003,2500.0,242.88768238041823,251.192565134666,83.012565134666,74.70768238041822,49.35935612716494,44.42126434797135
Reinforced Carbon Fiber,57457,2629.17,2629.17,287.37,2916.54,Reinforced Carbon Fiber,0.1,3838050,29385238,27,98,0,1,400.8,43390.0,4006.1365071755376,4339.0,1422.46,1089.5965071755377,48.77217524875366,37.35921698915625
Fernite Carbide,16673,29.27,29.27,3.2,32.47,Fernite Carbide,0.01,115896161,271934230,24,37,0,0,4.703,478.9,46.80383954049901,47.89,15.420000000000002,14.333839540499014,47.48999076070219,44.1448707745581
Pressurized Oxidizers,57456,2659.24,2659.24,290.66,2949.9,Pressurized Oxidizers,0.1,4582905,15360866,35,53,0,4,323.0,39870.0,3213.451329943922,3987.758139020275,1037.8581390202748,263.5513299439217,35.18282446931336,8.934246243734421
Hypersynaptic Fibers,16682,5981.62,5981.62,653.79,6635.41,Hypersynaptic Fibers,0.6,1583371,5503970,31,22,0,4,722.5,73700.0,7223.360676030719,7371.734445744519,736.3244457445189,587.9506760307195,11.096894475918125,8.860804020109073
Terahertz Metamaterials,33360,11890.86,11890.86,1299.67,13190.53,Terahertz Metamaterials,1.0,737606,6210751,20,46,0,1,1328.0,138700.0,13280.0,13870.0,679.4699999999993,89.46999999999935,5.151195592595592,0.6782896517425709
Photonic Metamaterials,33359,9585.78,9585.78,1047.73,10633.51,Photonic Metamaterials,1.0,1573919,4042482,34,35,0,5,1098.0,111400.0,10980.0,11143.923189110355,510.41318911035523,346.4899999999998,4.800044285568502,3.25847250813701
Nonlinear Metamaterials,33362,12985.04,12985.04,1419.26,14404.3,Nonlinear Metamaterials,1.0,590803,1605672,37,30,0,5,1570.0,144100.0,13602.914691943128,14410.0,5.700000000000728,-801.3853080568715,0.039571516838726825,-5.563514423171355
Nanotransistors,16681,3711.41,3711.41,405.66,4117.07,Nanotransistors,0.25,4474055,19459540,31,57,0,2,379.1,38800.0,3790.1476875486137,3886.954358990075,-230.11564100992473,-326.922312451386,-5.589306011554935,-7.940654699856598
Ferrogel,16683,25449.81,25449.81,2781.66,28231.47,Ferrogel,1.0,750377,2266877,44,36,0,7,2427.0,255700.0,24263.933045471505,25570.0,-2661.470000000001,-3967.5369545284957,-9.427316395497652,-14.053596764633566
Plasmonic Metamaterials,33361,14744.15,14744.15,1611.54,16355.69,Plasmonic Metamaterials,1.0,356912,2678518,23,47,0,5,1307.0,140000.0,13070.0,14000.0,-2355.6900000000005,-3285.6900000000005,-14.402877530694214,-20.08897209472667
Fermionic Condensates,17317,63855.38,63855.38,6979.39,70834.77,Fermionic Condensates,1.3,366739,1896380,33,41,0,5,5078.0,524200.0,50002.404013961605,52420.0,-18414.770000000004,-20832.3659860384,-25.99679507676809,-29.409802539118
