name,item_id,volume_m3,buyVolume,sellVolume,buyOrders,sellOrders,sellOutliers,buyOutliers,buyThreshold,sellThreshold,buyAvgFivePercent,sellAvgFivePercent
Crystalline Carbonide,16670,0.01,73256086,914837651,32,42,0,1,9.506,995.8,95.06,99.5871657949854
Fermionic Condensates,17317,1.3,366739,1896380,33,41,0,5,5078.0,524100.0,50049.05977312391,52410.0
Fernite Carbide,16673,0.01,115896161,271934230,24,37,0,0,4.703,478.9,46.80383954049901,47.89
Ferrogel,16683,1.0,750377,2266877,44,36,0,7,2427.0,255600.0,24263.933045471505,25560.0
Fullerides,16679,0.15,27968525,80394837,82,23,0,3,81.30000000000001,8452.0,813.0,845.2996859180054
Hypersynaptic Fibers,16682,0.6,1583371,5503970,31,22,0,4,722.5,73700.0,7223.360676030719,7371.734445744519
Nanotransistors,16681,0.25,4474055,19459540,31,57,0,2,379.1,38790.0,3790.1476875486137,3879.0
Nonlinear Metamaterials,33362,1.0,590803,1605672,37,30,0,5,1570.0,144000.0,13602.914691943128,14400.0
Phenolic Composites,16680,0.2,15277967,45584841,48,87,0,4,114.10000000000001,11470.0,1073.2432340443358,1147.9554610699522
Photonic Metamaterials,33359,1.0,1573919,4042482,34,35,0,5,1098.0,111400.0,10980.0,11143.923189110355
Plasmonic Metamaterials,33361,1.0,356912,2678518,23,47,0,5,1307.0,140000.0,13070.0,14000.0
Pressurized Oxidizers,57456,0.1,4582905,15360866,35,53,0,4,323.20000000000005,39870.0,3224.650112374261,3987.758139020275
Reinforced Carbon Fiber,57457,0.1,3838050,29385238,27,98,0,1,400.8,43360.0,4006.1365071755376,4336.0
Sylramic Fibers,16678,0.05,36214159,326446951,34,30,0,2,24.340000000000003,2512.0,242.88768238041825,251.2
Terahertz Metamaterials,33360,1.0,737606,6210751,20,46,0,1,1328.0,138600.0,13280.0,13860.0
Titanium Carbide,16671,0.01,156700062,342133934,74,18,1,0,8.815000000000001,997.0,88.13249305073656,99.77614103511324
Tungsten Carbide,16672,0.01,91029185,415541192,47,20,0,4,10.71,1094.0,107.1,109.4
